Date : 2022-09-16 20:20:54
Directory : d:\workspace\playground\vscode\src
Total : 3617 files,  821382 codes, 99587 comments, 157398 blanks, all 1078367 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |      3,283 |    766,620 |     96,099 |    151,732 |  1,014,451 |
| JavaScript         |         55 |     31,078 |      1,993 |      1,400 |     34,471 |
| CSS                |        197 |     15,669 |      1,302 |      3,525 |     20,496 |
| XML                |         36 |      3,960 |          9 |         51 |      4,020 |
| HTML               |         18 |      3,049 |         34 |        479 |      3,562 |
| Shell Script       |          8 |        356 |         72 |         72 |        500 |
| JSON               |         12 |        290 |         49 |         10 |        349 |
| Markdown           |          5 |        266 |          1 |        116 |        383 |
| PowerShell         |          1 |         63 |         27 |         10 |        100 |
| JSON with Comments |          1 |         31 |          0 |          1 |         32 |
| Less               |          1 |          0 |          1 |          2 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |      3,617 |    821,382 |     99,587 |    157,398 |  1,078,367 |
| typings                                                                                                                                       |          3 |         48 |         27 |         15 |         90 |
| vs                                                                                                                                            |      3,531 |    816,393 |     85,399 |    154,689 |  1,056,481 |
| vs\base                                                                                                                                       |        382 |     80,639 |     12,055 |     19,052 |    111,746 |
| vs\base\browser                                                                                                                               |        121 |     26,872 |      3,230 |      6,890 |     36,992 |
| vs\base\browser\dompurify                                                                                                                     |          3 |        853 |        403 |        252 |      1,508 |
| vs\base\browser\ui                                                                                                                            |         98 |     22,503 |      2,337 |      5,874 |     30,714 |
| vs\base\browser\ui\actionbar                                                                                                                  |          3 |        944 |         51 |        222 |      1,217 |
| vs\base\browser\ui\aria                                                                                                                       |          2 |         76 |         17 |         12 |        105 |
| vs\base\browser\ui\breadcrumbs                                                                                                                |          2 |        336 |         11 |         45 |        392 |
| vs\base\browser\ui\button                                                                                                                     |          2 |        440 |         13 |        108 |        561 |
| vs\base\browser\ui\centered                                                                                                                   |          1 |        152 |          5 |         26 |        183 |
| vs\base\browser\ui\codicons                                                                                                                   |          3 |         49 |         15 |         14 |         78 |
| vs\base\browser\ui\codicons\codicon                                                                                                           |          2 |         39 |         11 |         10 |         60 |
| vs\base\browser\ui\contextview                                                                                                                |          2 |        315 |         27 |         85 |        427 |
| vs\base\browser\ui\countBadge                                                                                                                 |          2 |         94 |          8 |         25 |        127 |
| vs\base\browser\ui\dialog                                                                                                                     |          2 |        526 |         31 |        109 |        666 |
| vs\base\browser\ui\dropdown                                                                                                                   |          3 |        440 |         15 |        111 |        566 |
| vs\base\browser\ui\findinput                                                                                                                  |          4 |        823 |         24 |        159 |      1,006 |
| vs\base\browser\ui\grid                                                                                                                       |          3 |      1,540 |        558 |        476 |      2,574 |
| vs\base\browser\ui\highlightedlabel                                                                                                           |          1 |         94 |         32 |         28 |        154 |
| vs\base\browser\ui\hover                                                                                                                      |          2 |        195 |         11 |         49 |        255 |
| vs\base\browser\ui\iconLabel                                                                                                                  |          6 |        558 |         50 |        144 |        752 |
| vs\base\browser\ui\inputbox                                                                                                                   |          2 |        706 |         21 |        166 |        893 |
| vs\base\browser\ui\keybindingLabel                                                                                                            |          2 |        183 |          8 |         40 |        231 |
| vs\base\browser\ui\list                                                                                                                       |          8 |      3,082 |        178 |        849 |      4,109 |
| vs\base\browser\ui\menu                                                                                                                       |          3 |      1,996 |         97 |        476 |      2,569 |
| vs\base\browser\ui\mouseCursor                                                                                                                |          2 |          5 |          8 |          5 |         18 |
| vs\base\browser\ui\progressbar                                                                                                                |          2 |        182 |         59 |         62 |        303 |
| vs\base\browser\ui\resizable                                                                                                                  |          1 |        157 |          4 |         30 |        191 |
| vs\base\browser\ui\sash                                                                                                                       |          2 |        515 |        141 |        149 |        805 |
| vs\base\browser\ui\scrollbar                                                                                                                  |          9 |      1,359 |        269 |        302 |      1,930 |
| vs\base\browser\ui\scrollbar\media                                                                                                            |          1 |         41 |          7 |          6 |         54 |
| vs\base\browser\ui\selectBox                                                                                                                  |          5 |      1,122 |        135 |        316 |      1,573 |
| vs\base\browser\ui\splitview                                                                                                                  |          4 |      1,434 |        320 |        431 |      2,185 |
| vs\base\browser\ui\table                                                                                                                      |          3 |        344 |         18 |         97 |        459 |
| vs\base\browser\ui\toggle                                                                                                                     |          2 |        260 |          9 |         66 |        335 |
| vs\base\browser\ui\toolbar                                                                                                                    |          2 |        185 |         12 |         46 |        243 |
| vs\base\browser\ui\tree                                                                                                                       |         12 |      4,351 |        186 |      1,212 |      5,749 |
| vs\base\browser\ui\tree\media                                                                                                                 |          2 |        105 |          9 |         24 |        138 |
| vs\base\common                                                                                                                                |         99 |     23,629 |      5,028 |      5,016 |     33,673 |
| vs\base\common\diff                                                                                                                           |          2 |        729 |        308 |        164 |      1,201 |
| vs\base\common\marked                                                                                                                         |          3 |      2,642 |        422 |        641 |      3,705 |
| vs\base\common\observableImpl                                                                                                                 |          5 |        914 |        115 |        183 |      1,212 |
| vs\base\common\semver                                                                                                                         |          3 |        110 |        189 |         44 |        343 |
| vs\base\common\worker                                                                                                                         |          1 |        460 |         34 |         69 |        563 |
| vs\base\node                                                                                                                                  |         17 |      1,883 |        519 |        437 |      2,839 |
| vs\base\parts                                                                                                                                 |         41 |      8,521 |      1,596 |      2,132 |     12,249 |
| vs\base\parts\contextmenu                                                                                                                     |          3 |        116 |         19 |         34 |        169 |
| vs\base\parts\contextmenu\common                                                                                                              |          1 |         29 |          4 |         10 |         43 |
| vs\base\parts\contextmenu\electron-main                                                                                                       |          1 |         50 |         10 |         11 |         71 |
| vs\base\parts\contextmenu\electron-sandbox                                                                                                    |          1 |         37 |          5 |         13 |         55 |
| vs\base\parts\ipc                                                                                                                             |         20 |      3,934 |        611 |        977 |      5,522 |
| vs\base\parts\ipc\browser                                                                                                                     |          1 |          7 |         12 |          4 |         23 |
| vs\base\parts\ipc\common                                                                                                                      |          4 |      1,815 |        293 |        420 |      2,528 |
| vs\base\parts\ipc\electron-browser                                                                                                            |          1 |         22 |         22 |         11 |         55 |
| vs\base\parts\ipc\electron-main                                                                                                               |          3 |        137 |         77 |         50 |        264 |
| vs\base\parts\ipc\electron-sandbox                                                                                                            |          2 |         39 |         19 |         17 |         75 |
| vs\base\parts\ipc\node                                                                                                                        |          2 |        818 |        121 |        168 |      1,107 |
| vs\base\parts\ipc\test                                                                                                                        |          7 |      1,096 |         67 |        307 |      1,470 |
| vs\base\parts\ipc\test\browser                                                                                                                |          1 |         43 |          4 |         12 |         59 |
| vs\base\parts\ipc\test\common                                                                                                                 |          1 |        376 |          4 |        114 |        494 |
| vs\base\parts\ipc\test\electron-sandbox                                                                                                       |          1 |         13 |          9 |          9 |         31 |
| vs\base\parts\ipc\test\node                                                                                                                   |          4 |        664 |         50 |        172 |        886 |
| vs\base\parts\quickinput                                                                                                                      |          7 |      2,998 |        255 |        574 |      3,827 |
| vs\base\parts\quickinput\browser                                                                                                              |          5 |      2,654 |         89 |        410 |      3,153 |
| vs\base\parts\quickinput\browser\media                                                                                                        |          1 |        231 |         10 |         52 |        293 |
| vs\base\parts\quickinput\common                                                                                                               |          1 |        198 |        153 |        123 |        474 |
| vs\base\parts\quickinput\test                                                                                                                 |          1 |        146 |         13 |         41 |        200 |
| vs\base\parts\quickinput\test\browser                                                                                                         |          1 |        146 |         13 |         41 |        200 |
| vs\base\parts\request                                                                                                                         |          2 |         98 |         13 |         20 |        131 |
| vs\base\parts\request\browser                                                                                                                 |          1 |         63 |          6 |         12 |         81 |
| vs\base\parts\request\common                                                                                                                  |          1 |         35 |          7 |          8 |         50 |
| vs\base\parts\sandbox                                                                                                                         |          6 |        281 |        588 |        122 |        991 |
| vs\base\parts\sandbox\common                                                                                                                  |          2 |         81 |        209 |         31 |        321 |
| vs\base\parts\sandbox\electron-browser                                                                                                        |          1 |        133 |        155 |         51 |        339 |
| vs\base\parts\sandbox\electron-sandbox                                                                                                        |          2 |         55 |        220 |         36 |        311 |
| vs\base\parts\sandbox\test                                                                                                                    |          1 |         12 |          4 |          4 |         20 |
| vs\base\parts\sandbox\test\electron-sandbox                                                                                                   |          1 |         12 |          4 |          4 |         20 |
| vs\base\parts\storage                                                                                                                         |          3 |      1,094 |        110 |        405 |      1,609 |
| vs\base\parts\storage\common                                                                                                                  |          1 |        234 |         38 |         95 |        367 |
| vs\base\parts\storage\node                                                                                                                    |          1 |        296 |         55 |         99 |        450 |
| vs\base\parts\storage\test                                                                                                                    |          1 |        564 |         17 |        211 |        792 |
| vs\base\parts\storage\test\node                                                                                                               |          1 |        564 |         17 |        211 |        792 |
| vs\base\test                                                                                                                                  |        103 |     19,634 |      1,670 |      4,563 |     25,867 |
| vs\base\test\browser                                                                                                                          |         28 |      5,995 |        296 |      1,345 |      7,636 |
| vs\base\test\browser\ui                                                                                                                       |         17 |      4,682 |        111 |      1,009 |      5,802 |
| vs\base\test\browser\ui\contextview                                                                                                           |          1 |         18 |          4 |          7 |         29 |
| vs\base\test\browser\ui\grid                                                                                                                  |          3 |      1,101 |         32 |        281 |      1,414 |
| vs\base\test\browser\ui\list                                                                                                                  |          3 |        390 |         16 |         79 |        485 |
| vs\base\test\browser\ui\menu                                                                                                                  |          1 |         60 |          4 |         18 |         82 |
| vs\base\test\browser\ui\scrollbar                                                                                                             |          2 |        537 |         10 |         40 |        587 |
| vs\base\test\browser\ui\splitview                                                                                                             |          1 |        413 |          4 |        133 |        550 |
| vs\base\test\browser\ui\tree                                                                                                                  |          6 |      2,163 |         41 |        451 |      2,655 |
| vs\base\test\common                                                                                                                           |         60 |     12,588 |      1,285 |      2,960 |     16,833 |
| vs\base\test\common\diff                                                                                                                      |          1 |        122 |         16 |         43 |        181 |
| vs\base\test\node                                                                                                                             |         15 |      1,051 |         89 |        258 |      1,398 |
| vs\base\test\node\pfs                                                                                                                         |          3 |        458 |         26 |        135 |        619 |
| vs\base\test\node\pfs\fixtures                                                                                                                |          2 |        134 |          9 |         20 |        163 |
| vs\base\test\node\processes                                                                                                                   |          3 |         81 |         12 |         22 |        115 |
| vs\base\test\node\processes\fixtures                                                                                                          |          2 |         15 |          8 |          8 |         31 |
| vs\base\test\node\zip                                                                                                                         |          1 |         24 |          4 |          9 |         37 |
| vs\base\worker                                                                                                                                |          1 |        100 |         12 |         14 |        126 |
| vs\code                                                                                                                                       |         32 |      5,902 |        849 |      1,361 |      8,112 |
| vs\code\browser                                                                                                                               |          4 |        582 |         58 |        137 |        777 |
| vs\code\browser\workbench                                                                                                                     |          4 |        582 |         58 |        137 |        777 |
| vs\code\electron-browser                                                                                                                      |         10 |        752 |        136 |        183 |      1,071 |
| vs\code\electron-browser\sharedProcess                                                                                                        |         10 |        752 |        136 |        183 |      1,071 |
| vs\code\electron-browser\sharedProcess\contrib                                                                                                |          7 |        406 |         40 |         89 |        535 |
| vs\code\electron-main                                                                                                                         |          3 |      1,379 |        326 |        390 |      2,095 |
| vs\code\electron-sandbox                                                                                                                      |         12 |      2,363 |        200 |        484 |      3,047 |
| vs\code\electron-sandbox\issue                                                                                                                |          6 |      1,669 |         80 |        324 |      2,073 |
| vs\code\electron-sandbox\issue\media                                                                                                          |          1 |        289 |         16 |         70 |        375 |
| vs\code\electron-sandbox\processExplorer                                                                                                      |          4 |        557 |         55 |        128 |        740 |
| vs\code\electron-sandbox\processExplorer\media                                                                                                |          1 |         64 |          6 |         17 |         87 |
| vs\code\electron-sandbox\workbench                                                                                                            |          2 |        137 |         65 |         32 |        234 |
| vs\code\node                                                                                                                                  |          2 |        529 |        125 |        124 |        778 |
| vs\code\test                                                                                                                                  |          1 |        297 |          4 |         43 |        344 |
| vs\code\test\electron-sandbox                                                                                                                 |          1 |        297 |          4 |         43 |        344 |
| vs\code\test\electron-sandbox\issue                                                                                                           |          1 |        297 |          4 |         43 |        344 |
| vs\editor                                                                                                                                     |        621 |    161,598 |     16,377 |     28,841 |    206,816 |
| vs\editor\browser                                                                                                                             |         89 |     23,042 |      2,525 |      4,546 |     30,113 |
| vs\editor\browser\config                                                                                                                      |          7 |        842 |         94 |        157 |      1,093 |
| vs\editor\browser\controller                                                                                                                  |          7 |      2,959 |        351 |        613 |      3,923 |
| vs\editor\browser\services                                                                                                                    |          7 |      1,552 |        118 |        318 |      1,988 |
| vs\editor\browser\view                                                                                                                        |          8 |      1,472 |        116 |        354 |      1,942 |
| vs\editor\browser\viewParts                                                                                                                   |         43 |      7,253 |        703 |      1,418 |      9,374 |
| vs\editor\browser\viewParts\blockDecorations                                                                                                  |          2 |         84 |         11 |         25 |        120 |
| vs\editor\browser\viewParts\contentWidgets                                                                                                    |          1 |        457 |         32 |         93 |        582 |
| vs\editor\browser\viewParts\currentLineHighlight                                                                                              |          2 |        208 |         10 |         26 |        244 |
| vs\editor\browser\viewParts\decorations                                                                                                       |          2 |        198 |         21 |         37 |        256 |
| vs\editor\browser\viewParts\editorScrollbar                                                                                                   |          1 |        183 |         12 |         36 |        231 |
| vs\editor\browser\viewParts\glyphMargin                                                                                                       |          2 |        173 |         14 |         36 |        223 |
| vs\editor\browser\viewParts\indentGuides                                                                                                      |          2 |        265 |         12 |         50 |        327 |
| vs\editor\browser\viewParts\lineNumbers                                                                                                       |          2 |        188 |         12 |         34 |        234 |
| vs\editor\browser\viewParts\lines                                                                                                             |          4 |      1,277 |        185 |        274 |      1,736 |
| vs\editor\browser\viewParts\linesDecorations                                                                                                  |          2 |        106 |         14 |         18 |        138 |
| vs\editor\browser\viewParts\margin                                                                                                            |          1 |         65 |          7 |         22 |         94 |
| vs\editor\browser\viewParts\marginDecorations                                                                                                 |          2 |         85 |         14 |         14 |        113 |
| vs\editor\browser\viewParts\minimap                                                                                                           |          6 |      1,914 |        224 |        338 |      2,476 |
| vs\editor\browser\viewParts\overlayWidgets                                                                                                    |          2 |        120 |         12 |         33 |        165 |
| vs\editor\browser\viewParts\overviewRuler                                                                                                     |          2 |        503 |         21 |         96 |        620 |
| vs\editor\browser\viewParts\rulers                                                                                                            |          2 |         87 |         12 |         20 |        119 |
| vs\editor\browser\viewParts\scrollDecoration                                                                                                  |          2 |         82 |         11 |         19 |        112 |
| vs\editor\browser\viewParts\selections                                                                                                        |          2 |        351 |         31 |         69 |        451 |
| vs\editor\browser\viewParts\viewCursors                                                                                                       |          3 |        566 |         37 |        107 |        710 |
| vs\editor\browser\viewParts\viewZones                                                                                                         |          1 |        341 |         11 |         71 |        423 |
| vs\editor\browser\widget                                                                                                                      |         10 |      5,579 |        207 |      1,054 |      6,840 |
| vs\editor\browser\widget\media                                                                                                                |          3 |        120 |         26 |         36 |        182 |
| vs\editor\common                                                                                                                              |        160 |     39,294 |      8,411 |      7,669 |     55,374 |
| vs\editor\common\commands                                                                                                                     |          4 |        454 |         48 |        100 |        602 |
| vs\editor\common\config                                                                                                                       |          5 |      4,010 |      1,462 |        464 |      5,936 |
| vs\editor\common\core                                                                                                                         |         16 |      1,386 |        481 |        320 |      2,187 |
| vs\editor\common\cursor                                                                                                                       |         11 |      4,086 |        360 |        753 |      5,199 |
| vs\editor\common\diff                                                                                                                         |          9 |      1,000 |        109 |        193 |      1,302 |
| vs\editor\common\diff\algorithms                                                                                                              |          4 |        231 |         43 |         47 |        321 |
| vs\editor\common\languages                                                                                                                    |         18 |      2,632 |        615 |        522 |      3,769 |
| vs\editor\common\languages\supports                                                                                                           |          8 |      1,053 |        248 |        212 |      1,513 |
| vs\editor\common\model                                                                                                                        |         30 |     10,734 |      1,138 |      2,109 |     13,981 |
| vs\editor\common\model\bracketPairsTextModelPart                                                                                              |         13 |      2,854 |        373 |        535 |      3,762 |
| vs\editor\common\model\bracketPairsTextModelPart\bracketPairsTree                                                                             |         10 |      2,003 |        311 |        373 |      2,687 |
| vs\editor\common\model\pieceTreeTextBuffer                                                                                                    |          4 |      2,442 |        178 |        471 |      3,091 |
| vs\editor\common\services                                                                                                                     |         23 |      3,619 |        372 |        763 |      4,754 |
| vs\editor\common\standalone                                                                                                                   |          1 |        515 |        346 |         39 |        900 |
| vs\editor\common\tokens                                                                                                                       |          7 |      1,274 |        250 |        285 |      1,809 |
| vs\editor\common\viewLayout                                                                                                                   |          6 |      2,155 |        322 |        424 |      2,901 |
| vs\editor\common\viewModel                                                                                                                    |          8 |      3,265 |        224 |        646 |      4,135 |
| vs\editor\contrib                                                                                                                             |        238 |     57,399 |      3,322 |     10,624 |     71,345 |
| vs\editor\contrib\anchorSelect                                                                                                                |          2 |        160 |          8 |         24 |        192 |
| vs\editor\contrib\anchorSelect\browser                                                                                                        |          2 |        160 |          8 |         24 |        192 |
| vs\editor\contrib\bracketMatching                                                                                                             |          3 |        487 |         37 |         81 |        605 |
| vs\editor\contrib\bracketMatching\browser                                                                                                     |          2 |        319 |         20 |         53 |        392 |
| vs\editor\contrib\bracketMatching\test                                                                                                        |          1 |        168 |         17 |         28 |        213 |
| vs\editor\contrib\bracketMatching\test\browser                                                                                                |          1 |        168 |         17 |         28 |        213 |
| vs\editor\contrib\caretOperations                                                                                                             |          4 |        213 |         19 |         44 |        276 |
| vs\editor\contrib\caretOperations\browser                                                                                                     |          3 |        154 |         15 |         37 |        206 |
| vs\editor\contrib\caretOperations\test                                                                                                        |          1 |         59 |          4 |          7 |         70 |
| vs\editor\contrib\caretOperations\test\browser                                                                                                |          1 |         59 |          4 |          7 |         70 |
| vs\editor\contrib\clipboard                                                                                                                   |          1 |        220 |         21 |         23 |        264 |
| vs\editor\contrib\clipboard\browser                                                                                                           |          1 |        220 |         21 |         23 |        264 |
| vs\editor\contrib\codeAction                                                                                                                  |         15 |      2,654 |        125 |        502 |      3,281 |
| vs\editor\contrib\codeAction\browser                                                                                                          |         12 |      2,158 |        107 |        415 |      2,680 |
| vs\editor\contrib\codeAction\browser\media                                                                                                    |          1 |        102 |          6 |         21 |        129 |
| vs\editor\contrib\codeAction\test                                                                                                             |          3 |        496 |         18 |         87 |        601 |
| vs\editor\contrib\codeAction\test\browser                                                                                                     |          3 |        496 |         18 |         87 |        601 |
| vs\editor\contrib\codelens                                                                                                                    |          5 |        934 |         62 |        200 |      1,196 |
| vs\editor\contrib\codelens\browser                                                                                                            |          5 |        934 |         62 |        200 |      1,196 |
| vs\editor\contrib\colorPicker                                                                                                                 |          7 |        915 |         38 |        225 |      1,178 |
| vs\editor\contrib\colorPicker\browser                                                                                                         |          7 |        915 |         38 |        225 |      1,178 |
| vs\editor\contrib\comment                                                                                                                     |          5 |      2,255 |         86 |        270 |      2,611 |
| vs\editor\contrib\comment\browser                                                                                                             |          3 |        659 |         70 |        138 |        867 |
| vs\editor\contrib\comment\test                                                                                                                |          2 |      1,596 |         16 |        132 |      1,744 |
| vs\editor\contrib\comment\test\browser                                                                                                        |          2 |      1,596 |         16 |        132 |      1,744 |
| vs\editor\contrib\contextmenu                                                                                                                 |          1 |        331 |         20 |         56 |        407 |
| vs\editor\contrib\contextmenu\browser                                                                                                         |          1 |        331 |         20 |         56 |        407 |
| vs\editor\contrib\copyPaste                                                                                                                   |          2 |        238 |          9 |         53 |        300 |
| vs\editor\contrib\copyPaste\browser                                                                                                           |          2 |        238 |          9 |         53 |        300 |
| vs\editor\contrib\cursorUndo                                                                                                                  |          2 |        171 |         16 |         39 |        226 |
| vs\editor\contrib\cursorUndo\browser                                                                                                          |          1 |        137 |          5 |         24 |        166 |
| vs\editor\contrib\cursorUndo\test                                                                                                             |          1 |         34 |         11 |         15 |         60 |
| vs\editor\contrib\cursorUndo\test\browser                                                                                                     |          1 |         34 |         11 |         15 |         60 |
| vs\editor\contrib\dnd                                                                                                                         |          3 |        315 |         19 |         50 |        384 |
| vs\editor\contrib\dnd\browser                                                                                                                 |          3 |        315 |         19 |         50 |        384 |
| vs\editor\contrib\documentSymbols                                                                                                             |          3 |        571 |         32 |        122 |        725 |
| vs\editor\contrib\documentSymbols\browser                                                                                                     |          2 |        410 |         26 |         80 |        516 |
